title,price,product_url,image_url,description,date_fetch,parent,brand
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-38,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_2e5acc18-3450-469a-825e-44ffa04df678_533x.webp?v=1700866630,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-39,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_359c7035-be38-40ad-b9bb-9b23d55bd970_533x.webp?v=1701638289,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-40,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_bd97a772-e72a-43ce-8bcc-df199df3e338_533x.webp?v=1702649457,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-41,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_c6a9a25f-9511-4f40-a21f-abdea8fb8aab_533x.webp?v=1704333310,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-42,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_5cc7f290-8fb8-4a84-a037-7664be4a33f9_533x.webp?v=1705960883,N/A,2024-07-28,Campbell Soup Company,Rao's
N/A,N/A,N/A,N/A,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-43,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_941d2cd9-e738-40e6-a627-e86ce4ca6620_533x.webp?v=1707439965,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-44,//www.raos.com/cdn/shop/products/5230491d34515f66f690ef9fc4cb9386_92069330-41ed-4ac6-bfa2-c27408b39f9f_533x.webp?v=1709258055,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-45,//www.raos.com/cdn/shop/files/5230491d34515f66f690ef9fc4cb9386_92069330-41ed-4ac6-bfa2-c27408b39f9f_533x.webp?v=1710971268,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-46,//www.raos.com/cdn/shop/files/5230491d34515f66f690ef9fc4cb9386_896ca99d-4c22-42be-9b2a-f5e7aa3dbad3_533x.webp?v=1712680858,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-47,//www.raos.com/cdn/shop/files/5230491d34515f66f690ef9fc4cb9386_5c7c542c-5086-49dd-8b87-ea7789077c76_533x.webp?v=1715144657,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-48,//www.raos.com/cdn/shop/files/5230491d34515f66f690ef9fc4cb9386_5a1bcb95-8f61-42db-9e1f-30f16fb117f1_533x.webp?v=1718378120,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case,$100.00 USD,https://www.raos.com/products/build-your-own-case-49,//www.raos.com/cdn/shop/files/5230491d34515f66f690ef9fc4cb9386_d7043d94-30df-4220-b42c-db90ceb2b94f_533x.webp?v=1720884779,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case 32oz,From $97.09 USD,https://www.raos.com/products/build-your-own-case-24oz,//www.raos.com/cdn/shop/products/11c19203b55fdabaeb73976bca43d61a_533x.png?v=1689192880,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case 32oz,$112.00 USD,https://www.raos.com/products/build-your-own-case-32oz-1,//www.raos.com/cdn/shop/products/11c19203b55fdabaeb73976bca43d61a_f57f93e9-ffc2-477f-ac19-c9642f260104_533x.png?v=1689192917,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case 32oz,$112.00 USD,https://www.raos.com/products/build-your-own-case-32oz-2,//www.raos.com/cdn/shop/products/11c19203b55fdabaeb73976bca43d61a_89c00c8b-5364-481f-80d6-f50c7902f016_533x.png?v=1689192932,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case 32oz,$112.00 USD,https://www.raos.com/products/build-your-own-case-32oz-3,//www.raos.com/cdn/shop/products/11c19203b55fdabaeb73976bca43d61a_bcd6131c-34d9-4f04-a419-6678170ba123_533x.png?v=1691433853,N/A,2024-07-28,Campbell Soup Company,Rao's
Build your own case 32oz,$112.00 USD,https://www.raos.com/products/build-your-own-case-32oz-4,//www.raos.com/cdn/shop/products/11c19203b55fdabaeb73976bca43d61a_37a1826f-35dd-4f2b-9fee-063d7da1aa77_533x.png?v=1707673325,N/A,2024-07-28,Campbell Soup Company,Rao's
N/A,N/A,N/A,N/A,N/A,2024-07-28,Campbell Soup Company,Rao's
Calabrian Chili Marinara - Exclusive,$13.00 USD,https://www.raos.com/products/calabrian-chili-marinara-exclusive,//www.raos.com/cdn/shop/products/Raos-Calabrian-Chili_d3822c79-ceb8-407f-8a2b-0ed64f26920a_533x.png?v=1651166091,"For a limited time, Rao's Homemade has crafted a sweet and spicy Calabrian Chili marinara, combining naturally sweet Italian cherry tomatoes with the warm heat of chilis grown in the southern Italian region of Calabria.  It’s a perfectly balanced sauce sure to elevate any meal.",2024-07-28,Campbell Soup Company,Rao's
Caramelized Onion Pasta Sauce - 24 oz Case,$8.99 USD,https://www.raos.com/products/caramelized-onion-pasta-sauce-24-oz-case,//www.raos.com/cdn/shop/files/RaosHomemadeCaramelizedOnionSauce_533x.webp?v=1715870159,N/A,2024-07-28,Campbell Soup Company,Rao's
Cardoncelli Mushroom Marinara,$16.99 USD,https://www.raos.com/products/cardoncelli-mushroom-marinara,//www.raos.com/cdn/shop/products/CardoncelliMarinara_Product_533x.webp?v=1660245217,"Cardoncelli mushrooms are native to the Mediterranean and have a delicate flavor with earthy, umami notes. Because of their meaty, dense texture they maintain excellent consistency during the cooking process, making them perfect for this delicious vegetarian sauce.",2024-07-28,Campbell Soup Company,Rao's
Casarecce Pasta,$3.59 USD,https://www.raos.com/products/casarecce-pasta-1,//www.raos.com/cdn/shop/files/CasareccePasta_533x.webp?v=1698937539,N/A,2024-07-28,Campbell Soup Company,Rao's
Case of Chicken & Gnocchi Soup,$31.87 USD,https://www.raos.com/products/case-of-chicken-gnocchi-soup,//www.raos.com/cdn/shop/files/RaosChickenandGnocchiSoup_533x.png?v=1690837796,"Bring home the taste of Rao’s Made for Home® Soup! Our chicken gnocchi soup starts with a creamy chicken broth and is loaded with gnocchi, chicken, carrots, onions, spinach and celery.",2024-07-28,Campbell Soup Company,Rao's
Case of Farfalle Pasta,$19.21 USD,https://www.raos.com/products/case-of-farfalle-pasta,//www.raos.com/cdn/shop/products/Farfalle_cfe0e7fd-e1d1-47d9-87bd-35e917e62384_533x.png?v=1689192904,Our pasta is made with only two ingredients—durum semolina flour and water.,2024-07-28,Campbell Soup Company,Rao's
Case of Fettuccine Pasta,$48.03 USD,https://www.raos.com/products/case-of-fettuccine-pasta,//www.raos.com/cdn/shop/products/Fettuccine_ce989b7c-7eea-4e43-84eb-ae72f9fd77c0_533x.png?v=1689192904,Our pasta is made with only two ingredients—durum semolina flour and water. We use traditional bronze dies to cut our pasta creating grooves that grab every drop of sauce.,2024-07-28,Campbell Soup Company,Rao's
Case of Fusilli Pasta,$19.21 USD,https://www.raos.com/products/case-of-fusilli,//www.raos.com/cdn/shop/products/fusilli_cfedf94e-697d-481c-976f-d3db74648c86_533x.png?v=1689192903,"Our pasta is made with only two ingredients—durum semolina flour and water. We use traditional bronze dies to cut our pasta creating grooves that grab every drop of sauce. This corkscrew shaped pasta captures and holds onto sauce in each of its turns and curves, and is best served with a thick sauce.",2024-07-28,Campbell Soup Company,Rao's
Case of Homemade Chicken Noodle Soup,$31.87 USD,https://www.raos.com/products/case-of-homemade-chicken-noodle-soup,//www.raos.com/cdn/shop/files/RaosChickenNoodle_533x.png?v=1690837706,"Bring home the taste of Rao’s Made for Home® Soup! Our chicken noodle soup is made with rich chicken broth, chicken, tender fusilli pasta, carrots, celery and onions.",2024-07-28,Campbell Soup Company,Rao's
Case of Italian Wedding Soup,$31.87 USD,https://www.raos.com/products/case-of-italian-wedding-soup,//www.raos.com/cdn/shop/files/RaosItalianWedding_533x.png?v=1690836611,"Bring home the taste of Rao’s Made for Home® Soup! Our Italian wedding soup is a chicken broth with beef and pork meatballs, carrots, acini di pepe pasta, spinach and onions.",2024-07-28,Campbell Soup Company,Rao's
Case of Italian-Style Lentil Soup,$31.87 USD,https://www.raos.com/products/italian-style-lentil-soup-1,//www.raos.com/cdn/shop/files/RaosLentil_61a2d01d-7ad9-4195-8af6-580720a811ad_533x.png?v=1696969684,"Bring home the taste of Rao’s Made for Home® Soup! Our Italian-Style Lentil soup is made with a savory chicken broth base and al dente lentils, carrots, diced Italian tomatoes and spices with roasted red pepper notes.",2024-07-28,Campbell Soup Company,Rao's
Case of Linguine Pasta,$48.03 USD,https://www.raos.com/products/case-of-linguine,//www.raos.com/cdn/shop/products/linguine-3_b7faebae-986b-4325-8ffe-2c3487c19cb2_533x.png?v=1689192904,Our pasta is made with only two ingredients—durum semolina flour and water. We use traditional bronze dies to cut our pasta creating grooves that grab every drop of sauce. Our linguine is perfectly paired with pesto or seafood-based sauces.,2024-07-28,Campbell Soup Company,Rao's
N/A,N/A,N/A,N/A,N/A,2024-07-28,Campbell Soup Company,Rao's
Case of Pasta & Fagioli Soup,$31.87 USD,https://www.raos.com/products/case-of-pasta-fagioli-soup,//www.raos.com/cdn/shop/files/RaosPastaandFagoli_533x.png?v=1690836567,"Bring home the taste of Rao’s Made for Home® Soup! Our pasta & fagioli soup is Italian tomato broth with navy beans, dark red kidney beans, ditalini pasta, carrots, celery and parmesan cheese.",2024-07-28,Campbell Soup Company,Rao's
Case of Penne Rigate Pasta,$19.21 USD,https://www.raos.com/products/case-of-penne-rigate,//www.raos.com/cdn/shop/products/penne-rigate_5d081d75-f549-427c-9e2e-f2f2e0a90b6d_533x.png?v=1689192907,Our pasta is made with only two ingredients—durum semolina flour and water. We use traditional bronze dies to cut our pasta creating grooves that grab every drop of sauce. This cylindrical shaped pasta soaks up thick sauces—inside and out— so every bite is full of flavor.,2024-07-28,Campbell Soup Company,Rao's
